title,company,degree,experience,max_salary(/month),min_salary(/month),place,title,CompanyType
对日java开发工程师,阿富络希信息科技（济南）有限公司,大专,无工作经验,5,1,国外,对日java开发工程师,外资（非欧美）       
浏览器软件开发（Java/C）实习生/应届生 项目奖+提成,重庆卓睿信息技术有限公司,大专,无工作经验,0.6,0.45,陕西省,浏览器软件开发（Java/C）实习生/应届生 项目奖+提成,上市
Java工程师,陕西智购网络科技有限公司,大专,无工作经验,0.6,0.4,西安-雁塔区,Java工程师,民营
Java开发+双休+五险一金+应届生,西安龙卷风企业管理咨询有限公司,大专,无工作经验,0.6,0.4,西安,Java开发+双休+五险一金+应届生,上市
高级Java/J2EE软件工程师 - 高薪诚聘 (职位编号：01),北京易捷宏图软件开发有限公司西安分公司,本科,5-7年经验,1.3,1,西安,高级Java/J2EE软件工程师 - 高薪诚聘 (职位编号：01),合资        
项目经理-Java方向,西安润和软件信息技术有限公司,本科,5-7年经验,1.8,1.4,西安,项目经理-Java方向,民营
JAVA开发工程师,上海班凯信息技术服务有限公司,大专,3-4年经验,1,0.8,西安-高新技术产业开发区,JAVA开发工程师,合资       
JAVA实训讲师,中软国际西安ETC,中专,1年经验,1.5,0.8,西安,JAVA实训讲师,上市
java高级软件工程师,江苏银丰信息技术有限公司,本科,3-4年经验,1.5,1,西安,java高级软件工程师,民营
Java中级开发工程师,西安哞哞信息科技有限公司,大专,3-4年经验,1,0.8,西安-碑林区,Java中级开发工程师,民营
JAVA程序员,西安雷迪信息技术有限公司,本科,1年经验,0.7,0.5,西安,JAVA程序员,民营
JAVA软件开发工程师,西北铁道电子股份有限公司,本科,3-4年经验,1,0.8,西安-高新技术产业开发区,JAVA软件开发工程师,民营
Java开发工程师,上海科匠信息科技有限公司,大专,3-4年经验,0.8,0.6,西安-高新技术产业开发区,Java开发工程师,上市
高级软件工程师（Java）,西安银信博锐信息科技有限公司,本科,3-4年经验,0.8,0.6,西安,高级软件工程师（Java）,民营
JAVA、C++软件开发&实施工程师（陕西易联众）,易联众信息技术股份有限公司,大专,1年经验,0.6,0.4,西安-碑林区,JAVA、C++软件开发&实施工程师（陕西易联众）,民营
JAVA/.NET 高级软件工程师,西安利华慧康信息技术有限公司,中专,无工作经验,1,0.8,西安-高新技术产业开发区,JAVA/.NET 高级软件工程师,民营
java初级工程师,西安快彩网络科技有限公司,本科,2年经验,0.6,0.45,西安,java初级工程师,民营
Java高级开发工程师,浙江天尔软件技术有限公司,大专,3-4年经验,1,0.6,西安-雁塔区,Java高级开发工程师,民营
Java开发工程师,中铁信息工程集团有限公司西安分公司,本科,3-4年经验,0.8,0.6,西安-高新技术产业开发区,Java开发工程师,国企       
Java高级工程师,陕西云思服科技有限责任公司,本科,3-4年经验,1.5,0.8,西安-高新技术产业开发区,Java高级工程师,民营
Java高级开发工程师-***,西安勤人信息科技有限公司,大专,无工作经验,1.5,1,西安,Java高级开发工程师-***,民营
java高级开发工程师,跨境云（北京）网络科技有限公司,中专,无工作经验,1.5,1,西安-高新技术产业开发区,java高级开发工程师,民营
软件工程师助理（JAVA）,天职工程咨询股份有限公司,中专,无工作经验,,,西安,软件工程师助理（JAVA）,民营
java软件工程师（五险一金+周末双休）,西安峰华信息工程有限公司,大专,1年经验,1,0.8,西安,java软件工程师（五险一金+周末双休）,上市
JAVA软件工程师,德商时代网络信息发展有限责任公司,中专,2年经验,9千/月,6,西安,JAVA软件工程师,民营
Java资深开发工程师-带头大哥,西安旭辉计算机软件开发有限责任公司,大专,5-7年经验,1.5,1,西安,Java资深开发工程师-带头大哥,民营
JAVA高级软件工程师,西安海数多媒体技术有限公司,本科,3-4年经验,8千/月,5,西安,JAVA高级软件工程师,民营
java软件工程师,陕西水帘网络科技有限公司,中专,2年经验,6千/月,4,西安,java软件工程师,民营
Java开发工程师,陕西博西网络数据有限公司,大专,3-4年经验,1,0.5,西安,Java开发工程师,民营
招聘JAVA工程师,西安哈伦网络科技有限公司,大专,1年经验,2.5,1,西安,招聘JAVA工程师,民营
Java高级开发工程师,西安天文双子软件科技有限公司,本科,无工作经验,1.2,0.6,西安,Java高级开发工程师,民营
JAVA开发工程师,深圳信用宝金融服务有限公司,中专,无工作经验,6千/月,4.5,西安,JAVA开发工程师,民营
java（界面）开发工程师,西安交大捷普网络科技有限公司,本科,2年经验,1.5,1,西安-高新技术产业开发区,java（界面）开发工程师,民营
Java软件工程师/可实习/学徒 西安+带薪实习/双休,西安博创文思信息技术有限公司,大专,无工作经验,6千/月,4,西安,Java软件工程师/可实习/学徒 西安+带薪实习/双休,民营
Java开发工程师（普元EOS开发）,陕西万德信息科技股份有限公司,大专,2年经验,6千/月,4,西安,Java开发工程师（普元EOS开发）,民营
Java高级开发工程师,深圳全丰智控科技有限公司,本科,3-4年经验,1,0.8,西安-雁塔区,Java高级开发工程师,民营
Java高级开发工程师,西安白杨电子信息技术有限公司,本科,3-4年经验,1.5,1,西安-雁塔区,Java高级开发工程师,民营
Java项目经理,北京神州安信科技股份有限公司西安分公司,本科,5-7年经验,1.5,1,西安-高新技术产业开发区,Java项目经理,民营
java软件开发储备人员,西安网星软件咨询服务有限公司,中专,无工作经验,5千/月,3,西安-雁塔区,java软件开发储备人员,民营
Java项目经理,江苏摩尔信息技术有限公司,大专,3-4年经验,1.5,1,西安-碑林区,Java项目经理,民营
java讲师,西安海豚智能科技有限公司,本科,无工作经验,1.5,0.8,西安-碑林区,java讲师,民营
JAVA（外派上海、南京工作一年）,西安聚合软件有限公司,大专,无工作经验,6千/月,4.5,西安-高新技术产业开发区,JAVA（外派上海、南京工作一年）,民营
JAVA开发工程师,西安圣祺网络科技有限公司,大专,1年经验,1,0.7,西安-高新技术产业开发区,JAVA开发工程师,民营
JAVA开发（咸阳）,四川长虹电子控股集团有限公司,本科,无工作经验,,,咸阳,JAVA开发（咸阳）,国企        
Java中级开发工程师,北京当当网信息技术有限公司,中专,3-4年经验,1.7,1.2,西安-雁塔区,Java中级开发工程师,外资（非欧美）       
Java中级开发工程师,乾元大通科技集团有限公司,大专,3-4年经验,1.2,0.7,乌鲁木齐,Java中级开发工程师,民营
Java讲师+高薪+双休+五险一金,蓝鸥科技有限公司西安分公司,大专,5-7年经验,1.5,1,西安-高新技术产业开发区,Java讲师+高薪+双休+五险一金,民营
Java高级开发工程师,西安经茂信息科技有限公司,本科,3-4年经验,1.5,1,西安,Java高级开发工程师,外资（非欧美）       
JAVA WEB 开发工程师,西安创龙数字文化传播有限公司,本科,无工作经验,1,0.8,西安,JAVA WEB 开发工程师,民营
Java中高级开发工程师,北京恒华伟业科技股份有限公司,大专,3-4年经验,1.5,0.6,西安,Java中高级开发工程师,上市
JAVA软件工程师,西安悦泰科技有限责任公司,本科,3-4年经验,8千/月,5,西安,JAVA软件工程师,国企      
Java/J2EE工程师,蓬天信息系统（北京）有限公司,本科,3-4年经验,6千/月,4.5,西安-雁塔区,Java/J2EE工程师,外资（非欧美）       
Associate MES Solution Engineer /JAVA Software Engineer - Xi‘an,罗克韦尔自动化(中国)有限公司,本科,无工作经验,,,西安,Associate MES Solution Engineer /JAVA Software Engineer - Xi‘an,外资（欧美）            
开发工程师（JAVA方向）（工作地点：绵阳）,四川快益点电器服务连锁有限公司,本科,无工作经验,4.5千/月,3,西安,开发工程师（JAVA方向）（工作地点：绵阳）,国企        
java开发工程师,西安摩西软件科技有限公司,大专,3-4年经验,7千/月,5,西安,java开发工程师,民营
PHP、JAVA实习生,西安兰山国际旅行社有限公司,中专,无工作经验,,100元/天,西安,PHP、JAVA实习生,民营
Java开发工程师（西安）,北京超图软件股份有限公司,本科,无工作经验,,,西安,Java开发工程师（西安）,非营利机构        
Android开发工程师,陕西预购宝网络科技有限公司,本科,3-4年经验,8千/月,6,西安,Android开发工程师,民营
急聘程序员,陕西泰乐网络科技有限公司,中专,1年经验,5千/月,3,西安,急聘程序员,民营
游戏服务器研发工程师,陕西至尊网络科技有限公司,大专,5-7年经验,1.5,0.8,西安-高新技术产业开发区,游戏服务器研发工程师,民营
日语PM(000920) (职位编号：ThunderSoft000920),中科创达软件股份有限公司,中专,5-7年经验,1.5,1,西安-高新技术产业开发区,日语PM(000920) (职位编号：ThunderSoft000920),上市
IT研发实习生,西域科技（中国）有限公司,大专,无工作经验,1.5,1,上海-浦东新区,IT研发实习生,合资     
高级软件工程师,西安获德图像技术有限公司,中专,1年经验,8千/月,6,西安-碑林区,高级软件工程师,民营
上位机软件研发高级工程师,西安欣创电子技术有限公司,本科,无工作经验,1.2,0.8,西安-高新技术产业开发区,上位机软件研发高级工程师,民营
软件开发工程师,联咏电子科技（西安）有限公司,硕士,无工作经验,1,0.8,西安-高新技术产业开发区,软件开发工程师,外资（非欧美）     
无线通信技术支持及维护,西安纳维通信技术有限公司,大专,无工作经验,5千/月,3,西安-雁塔区,无线通信技术支持及维护,创业
前端开发工程师,广州思迈特软件有限公司,本科,2年经验,1,0.5,西安-莲湖区,前端开发工程师,民营
游戏服务器开发工程师（高级）,西安豆丫网络科技有限公司,本科,5-7年经验,1.5,1,西安-雁塔区,游戏服务器开发工程师（高级）,民营
网络技术工程师 (职位编号：05),陕西朗宇养老服务有限公司,大专,2年经验,4.5千/月,3,西安-曲江文化新区,网络技术工程师 (职位编号：05),民营
